type,path,size_bytes,size_human,extension,pct_of_parent
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\debug\lib\Catch2d.lib",64329718,"61.35 MB",".lib",0.426441
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\lib\Catch2.lib",58174544,"55.48 MB",".lib",0.414791
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\debug\lib\libCatch2d.a",35883068,"34.22 MB",".a",0.414095
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\debug\lib\ftxui-dom.lib",35623818,"33.97 MB",".lib",0.23615
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\debug\lib\ftxui-component.lib",33647516,"32.09 MB",".lib",0.223049
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\lib\ftxui-dom.lib",33113046,"31.58 MB",".lib",0.2361
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\lib\ftxui-component.lib",32159880,"30.67 MB",".lib",0.229304
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\debug\lib\libftxui-component.a",25260864,"24.09 MB",".a",0.291514
file,"D:\disktree\build\dev\tests\disktree_tests.pdb",19935232,"19.01 MB",".pdb",0.493582
file,"D:\disktree\build\dev\disktree.pdb",19140608,"18.25 MB",".pdb",0.0449141
file,"D:\disktree\build\dev\tests\disktree_tests.ilk",15771244,"15.04 MB",".ilk",0.390484
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\debug\lib\libftxui-dom.a",15507694,"14.79 MB",".a",0.178961
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\debug\lib\CLI11.lib",12357964,"11.79 MB",".lib",0.0819208
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\lib\CLI11.lib",12260032,"11.69 MB",".lib",0.0874154
file,"D:\disktree\build\dev\disktree_core.lib",12113738,"11.55 MB",".lib",0.0284253
file,"D:\disktree\build\dev\disktree.ilk",11975916,"11.42 MB",".ilk",0.0281019
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\debug\lib\libCLI11.a",7563816,"7.21 MB",".a",0.0872874
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\debug\bin\libzstd.dll",4635215,"4.42 MB",".dll",0.502803
file,"D:\disktree\build\dev\CMakeFiles\disktree_core.dir\src\export\json_export.cpp.obj",4526366,"4.32 MB",".obj",0.923277
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\debug\lib\ftxui-screen.lib",4367624,"4.17 MB",".lib",0.0289529
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\lib\ftxui-screen.lib",4029654,"3.84 MB",".lib",0.0287319
file,"D:\disktree\build\dev\CMakeFiles\disktree.dir\src\main.cpp.obj",3323253,"3.17 MB",".obj",0.999892
file,"D:\disktree\build\dev\CMakeFiles\disktree_core.dir\disktree_core.pdb",3305472,"3.15 MB",".pdb",0.24214
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\bin\zstd.pdb",2936832,"2.80 MB",".pdb",0.330777
file,"D:\disktree\build\dev\tests\disktree_tests.exe",2909696,"2.77 MB",".exe",0.0720419
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\debug\bin\zstd.pdb",2879488,"2.75 MB",".pdb",0.229065
file,"D:\disktree\build\dev\disktree.exe",2835968,"2.70 MB",".exe",0.0066547
file,"D:\disktree\build\dev\CMakeFiles\disktree.dir\vc140.pdb",2732032,"2.61 MB",".pdb",0.450981
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\debug\bin\fmtd.pdb",2584576,"2.46 MB",".pdb",0.205604
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\lib\libCatch2.a",2280194,"2.17 MB",".a",0.389642
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\debug\bin\libbrotlienc.dll",2274025,"2.17 MB",".dll",0.246674
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\debug\bin\zstd.dll",1766912,"1.69 MB",".dll",0.140559
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\debug\lib\libftxui-screen.a",1720642,"1.64 MB",".a",0.0198564
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\bin\brotlienc.pdb",1667072,"1.59 MB",".pdb",0.187763
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\debug\bin\libfmtd.dll",1656833,"1.58 MB",".dll",0.179724
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\debug\bin\brotlienc.pdb",1642496,"1.57 MB",".pdb",0.130661
file,"D:\disktree\build\dev\CMakeFiles\disktree_core.dir\src\core\scanner.cpp.obj",1639200,"1.56 MB",".obj",0.336937
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\bin\fmt.pdb",1593344,"1.52 MB",".pdb",0.179459
file,"D:\disktree\build\dev\CMakeFiles\disktree_core.dir\src\core\index.cpp.obj",1553635,"1.48 MB",".obj",0.319349
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\bin\libzstd.dll",1423115,"1.36 MB",".dll",0.461953
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\lib\libftxui-component.a",1300316,"1.24 MB",".a",0.222199
file,"D:\disktree\build\dev\CMakeFiles\CMakeConfigureLog.yaml",1072765,"1.02 MB",".yaml",0.0510992
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\debug\bin\brotlidec.pdb",1044480,"1020.00 KB",".pdb",0.083089
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\debug\bin\brotlienc.dll",945664,"923.50 KB",".dll",0.0752281
file,"D:\disktree\build\dev\CMakeFiles\disktree_core.dir\src\core\arena.cpp.obj",910194,"888.86 KB",".obj",0.18709
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\debug\bin\brotlicommon.pdb",905216,"884.00 KB",".pdb",0.0720104
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\tools\brotli\libbrotlienc.dll",873379,"852.91 KB",".dll",0.569224
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\bin\libbrotlienc.dll",873379,"852.91 KB",".dll",0.283505
file,"D:\disktree\build\dev\tests\CMakeFiles\disktree_tests.dir\vc140.pdb",856064,"836.00 KB",".pdb",0.656724
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\lib\libCLI11.a",818088,"798.91 KB",".a",0.139796
